Species Richness Mapping Parameters for Bothidae (with a probability of occurrence > 0.5)

Citation: Species Richness Map for Bothidae. 
"www.aquamaps.org, version of Aug. 2016. Web. "Accessed 2 Nov. 2018.

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. "

C-Square Code,Center Latitude,Center Longitude,Species Count
1212:121:3,22.75,121.25,49
3115:371:4,-17.75,151.75,49
3115:371:3,-17.75,151.25,48
3114:467:2,-16.25,147.75,48
1212:120:2,22.25,120.75,48
3013:361:4,-6.75,131.75,48
3013:131:3,-3.75,131.25,48
3114:466:4,-16.75,146.75,48
3013:130:4,-3.75,130.75,48
3013:141:2,-4.25,131.75,48
3115:370:4,-17.75,150.75,48
3114:487:2,-18.25,147.75,48
3114:466:1,-16.25,146.25,48
3014:477:1,-7.25,147.25,47
3013:380:2,-8.25,130.75,47
3013:362:1,-6.25,132.25,47
3013:352:2,-5.25,132.75,47
3012:489:2,-8.25,129.75,47
3012:239:2,-3.25,129.75,47
3216:216:4,-21.75,166.75,47
3114:476:2,-17.25,146.75,47
3013:372:1,-7.25,132.25,47
3013:370:3,-7.75,130.25,47
3013:352:1,-5.25,132.25,47
3012:489:1,-8.25,129.25,47
3012:479:4,-7.75,129.75,47
3115:113:4,-11.75,153.75,47
3115:102:3,-10.75,152.25,47
3115:101:2,-10.25,151.75,47
3114:478:1,-17.25,148.25,47
3015:390:4,-9.75,150.75,47
3013:362:3,-6.75,132.25,47
3216:217:2,-21.25,167.75,47
3116:394:3,-19.75,164.25,47
3115:101:1,-10.25,151.25,47
3115:100:1,-10.25,150.25,47
3114:245:4,-14.75,145.75,47
1212:120:4,22.75,120.75,47
3014:499:2,-9.25,149.75,47
3013:371:1,-7.25,131.25,47
3114:488:4,-18.75,148.75,47
3114:478:3,-17.75,148.25,47
3114:467:4,-16.75,147.75,47
3013:370:4,-7.75,130.75,46
3013:363:3,-6.75,133.25,46
3013:141:1,-4.25,131.25,46
3012:236:1,-3.25,126.25,46
1211:206:4,20.75,116.75,46
3216:207:3,-20.75,167.25,46
3216:101:1,-20.25,161.25,46
1111:380:2,18.25,110.75,46
3015:487:2,-8.25,157.75,46
3014:489:1,-8.25,149.25,46
3013:130:1,-3.25,130.25,46
3216:206:4,-20.75,166.75,46
3115:382:3,-18.75,152.25,46
3115:371:2,-17.25,151.75,46
3114:209:1,-10.25,149.25,46
1012:394:2,9.25,124.75,46
3013:353:1,-5.25,133.25,46
3013:120:3,-2.75,130.25,46
3013:103:3,-0.75,133.25,46
3115:371:1,-17.25,151.25,46
3114:478:4,-17.75,148.75,46
3114:468:1,-16.25,148.25,46
1012:384:4,8.75,124.75,46
3015:390:3,-9.75,150.25,46
3015:380:2,-8.25,150.75,46
3014:467:2,-6.25,147.75,46
3014:226:1,-2.25,146.25,46
3014:114:1,-1.25,144.25,46
3013:352:3,-5.75,132.25,46
3013:132:2,-3.25,132.75,46
3012:215:4,-1.75,125.75,46
3012:133:3,-3.75,123.25,46
3216:227:4,-22.75,167.75,46
3216:226:4,-22.75,166.75,46
1212:110:4,21.75,120.75,46
1211:228:1,22.25,118.25,46
3015:477:2,-7.25,157.75,45
3015:465:2,-6.25,155.75,45
3015:380:1,-8.25,150.25,45
3014:489:2,-8.25,149.75,45
3014:457:1,-5.25,147.25,45
3014:456:1,-5.25,146.25,45
3013:206:3,-0.75,136.25,45
3013:130:2,-3.25,130.75,45
3013:120:1,-2.25,130.25,45
3012:228:4,-2.75,128.75,45
3012:215:3,-1.75,125.25,45
3012:114:4,-1.75,124.75,45
3216:206:1,-20.25,166.25,45
1112:381:4,18.75,121.75,45
1112:131:3,13.75,121.25,45
1112:122:4,12.75,122.75,45
1112:121:4,12.75,121.75,45
3116:384:3,-18.75,164.25,45
3115:102:4,-10.75,152.75,45
1012:112:1,1.25,122.25,45
3015:477:1,-7.25,157.25,45
3015:391:1,-9.25,151.25,45
3014:478:3,-7.75,148.25,45
3014:467:4,-6.75,147.75,45
3014:226:3,-2.75,146.25,45
3013:363:2,-6.25,133.75,45
3013:353:3,-5.75,133.25,45
3012:239:1,-3.25,129.25,45
3012:228:3,-2.75,128.25,45
3216:217:4,-21.75,167.75,45
3216:205:4,-20.75,165.75,45
3215:113:4,-21.75,153.75,45
1112:132:2,13.25,122.75,45
1112:131:2,13.25,121.75,45
1112:122:3,12.75,122.25,45
1112:121:2,12.25,121.75,45
3116:478:3,-17.75,168.25,45
3116:467:2,-16.25,167.75,45
3115:100:2,-10.25,150.75,45
3114:499:2,-19.25,149.75,45
3114:245:1,-14.25,145.25,45
1012:383:4,8.75,123.75,45
1012:111:2,1.25,121.75,45
1012:104:4,0.75,124.75,45
3015:487:1,-8.25,157.25,45
3015:476:4,-7.75,156.75,45
3015:392:1,-9.25,152.25,45
3014:497:3,-9.75,147.25,45
3014:457:3,-5.75,147.25,45
3014:394:4,-9.75,144.75,45
3014:246:3,-4.75,146.25,45
3013:371:4,-7.75,131.75,45
3013:370:2,-7.25,130.75,45
3013:132:4,-3.75,132.75,45
3012:216:3,-1.75,126.25,45
3012:112:2,-1.25,122.75,45
3015:499:2,-9.25,159.75,45
3216:206:3,-20.75,166.25,45
3216:100:2,-20.25,160.75,45
3215:235:2,-23.25,155.75,45
3215:104:3,-20.75,154.25,45
1112:132:1,13.25,122.25,45
3117:488:1,-18.25,178.25,45
3116:495:4,-19.75,165.75,45
3116:383:4,-18.75,163.75,45
3115:113:3,-11.75,153.25,45
3114:208:2,-10.25,148.75,45
1012:228:2,2.25,128.75,45
1012:218:2,1.25,128.75,45
1012:103:1,0.25,123.25,45
1011:249:4,4.75,119.75,45
3015:391:3,-9.75,151.25,45
3013:362:2,-6.25,132.75,45
3013:130:3,-3.75,130.25,45
3012:476:3,-7.75,126.25,45
3216:218:3,-21.75,168.25,45
3216:217:1,-21.25,167.25,45
3216:215:4,-21.75,165.75,45
3216:206:2,-20.25,166.75,45
3215:113:1,-21.25,153.25,45
1112:131:4,13.75,121.75,45
3117:479:1,-17.25,179.25,45
3116:478:1,-17.25,168.25,45
3116:467:4,-16.75,167.75,45
3116:383:3,-18.75,163.25,45
3115:392:1,-19.25,152.25,45
3115:113:2,-11.25,153.75,45
3115:101:4,-10.75,151.75,45
1012:392:2,9.25,122.75,45
1012:384:3,8.75,124.25,45
1012:215:1,1.25,125.25,45
1012:207:1,0.25,127.25,45
