Species name,Specimen No.,Latitude,Longitude,depth (m),Mean depth (m)
C. leucostigmata nsp.,WJC5681,-2.57,150.65,147-151,149
C. leucostigmata nsp.,WJC5843,16.12,114.33,162-165,163.5
C. leucostigmata nsp.,WJC5844,16.12,114.33,162-165,163.5
C. leucostigmata nsp.,WJC5845,16.12,114.33,162-165,163.5
C. leucostigmata nsp.,WJC5910,16.12,114.35,162-163,162.5
C. leucostigmata nsp.,WJC5911,16.12,114.35,162-163,162.5
C. pleurospilus,WJC6159,20.77,116.68,190-221,205.5
C. pleurospilus,WJC6160,20.77,116.68,190-221,205.5
C. pleurospilus,PNG1690,-2.52,150.65,218-234,226
C. pleurospilus,PNG1691,-2.52,150.65,218-234,226
C. sp4,PNG1830,-2.90,151.12,150-160,155
C. sp4,PNG1831,-2.90,151.12,150-160,155
C. tosaensis,PNG3187,-2.58,150.67,133-178,155.5
C. tosaensis,PNG3206,-2.55,150.68,180-181,180.5
C. tosaensis,PNG3411,-2.42,149.95,175-175,175
C. tosaensis,PNG3471,-2.42,149.97,140-221,180.5
C. tosaensis,PNG3579,-2.55,150.75,175-197,186
C. pleurospilus,PNG3596,-2.53,150.73,191-290,240.5
C. stella,NC15,-22.52,167.05,77-78,77.5
C. stella,NC16,-22.52,167.05,77-78,77.5
C. stella,NC17,-22.52,167.05,77-78,77.5
C. stella,NC18,-22.52,167.05,77-78,77.5
C. stella,NC19,-22.52,167.05,77-78,77.5
C. stella,NC20,-22.52,167.05,77-78,77.5
C. stella,NC21,-22.52,167.05,77-78,77.5
C. stella,NC22,-22.52,167.05,77-78,77.5
C. stella,NC49,-22.53,167.07,79-79,79
C. stella,NC50,-22.53,167.07,79-79,79
C. stella,NC51,-22.53,167.07,79-79,79
C. stella,NC52,-22.53,167.07,79-79,79
C. stella,NC53,-22.53,167.07,79-79,79
C. stella,NC54,-22.53,167.07,79-79,79
C. stella,NC55,-22.53,167.07,79-79,79
C. lecromi,NC243,-22.78,167.42,244-285,264.5
C. nsp.A.,NC577,-22.72,167.27,265-305,285
C. aurantimaculata nsp.,NC989,-25.10,159.95,290-300,295
C. aurantimaculata nsp.,NC1115,-24.20,159.68,270-320,295
C. aurantimaculata nsp.,NC1142,-23.15,159.50,280,280
C. aurantimaculata nsp.,NC1143,-23.15,159.50,280,280
C. lecromi,NC1448,-19.82,158.47,260-300,280
C. lecromi,NC1449,-19.82,158.47,260-300,280
C. lecromi,NC1450,-19.82,158.47,260-300,280
C. nsp.A.,NC1451,-19.82,158.47,260-300,280
C. lecromi,NC1452,-19.82,158.47,260-300,280
C. lecromi,NC1453,-19.82,158.47,260-300,280
C. lecromi,NC1454,-19.82,158.47,260-300,280
C. aurantimaculata nsp.,EXB123,-22.32,168.68,338,338
