family	genus	species	decimalLatitude	decimalLongitude
Bothidae			-22.00274	113.85765
Bothidae			-22.00274	113.85765
Bothidae			-21.99969	113.80724
Bothidae			-22.00073	113.66112
Bothidae			-21.99969	113.80724
Bothidae			-22.00073	113.66112
Bothidae			-22.99984	113.66213
Bothidae			-22.99984	113.66213
Bothidae			-24.00145	113.20997
Bothidae			-23.00212	113.31917
Bothidae			-23.99705	111.97584
Bothidae			-25.99995	112.96032
Bothidae			-25.99995	112.96032
Bothidae			-26.9979	112.71456
Bothidae			-26.99579	113.65685
Bothidae			-26.99579	113.65685
Bothidae			-25.98024	111.60231
Bothidae			-26.9979	112.71456
Bothidae			-26.99352	112.03435
Bothidae			-26.99352	112.03435
Bothidae			-28.01243	113.1851
Bothidae			-27.99911	113.7571
Bothidae			-27.98973	112.38385
Bothidae			-29.09677	113.94838
Bothidae			-29.00011	114.3369
Bothidae			-29.09677	113.94838
Bothidae			-28.99566	113.7818
Bothidae			-28.99566	113.7818
Bothidae			-30.00105	114.82638
Bothidae			-29.00685	113.35731
Bothidae			-30.00384	114.53971
Bothidae			-30.00007	114.47121
Bothidae			-30.01882	113.98872
Bothidae			-30.01882	113.98872
Bothidae			-31.00643	114.96293
Bothidae			-31.00026	114.82807
Bothidae			-31.01273	112.23457
Bothidae			-28.99922	153.59182
Bothidae			-32.99987	114.91766
Bothidae			-28.997	153.64928
Bothidae			-28.99742	153.66688
Bothidae			-29.00379	153.84415
Bothidae			-29.66393	153.49761
Bothidae			-33.66066	153.00282
Bothidae			-29.99756	153.46216
Bothidae			-29.9991	153.54438
Bothidae			-29.99696	153.44776
Bothidae			-29.99992	153.52779
Bothidae			-29.66707	153.70938
Bothidae			-30.00114	153.57783
Bothidae			-33.51149	153.00014
Bothidae			-31.75002	152.91884
Bothidae			-30.00129	153.59365
Bothidae			-31.75055	152.8851
Bothidae			-31.74934	153.02808
Bothidae			-33.87293	151.87775
Bothidae			-31.75034	153.0456
Bothidae			-33.86428	151.8659
Bothidae			-33.4962	153.0011
Bothidae			-33.96192	151.96295
Bothidae			-33.83294	151.83725
Bothidae			-33.8232	151.82788
Bothidae			-33.65941	153.00638
Bothidae			-33.55665	153.00085
Bothidae			-33.57517	153.00187
Bothidae			-33.77661	152.99965
Bothidae			-33.77591	153.50388
Bothidae			-33.4962	153.0011
Bothidae			-33.51149	153.00014
Bothidae			-33.66066	153.00282
Bothidae			-33.6741	153.00182
Bothidae			-33.58318	153.5021
Bothidae			-29.00044	153.61073
Bothidae			-28.99922	153.59182
Bothidae			-29.00162	153.73893
Bothidae			-29.66303	153.48317
Bothidae			-29.66393	153.49761
Bothidae			-28.99896	153.74772
Bothidae			-29.00379	153.84415
Bothidae			-29.66549	153.63501
Bothidae			-29.66694	153.6461
Bothidae			-29.67274	153.70047
Bothidae			-33.71744	153.50048
Bothidae			-29.66707	153.70938
Bothidae			-29.99676	153.40399
Bothidae			-29.9986	153.38673
Bothidae			-29.99992	153.52779
Bothidae			-29.9991	153.54438
Bothidae			-30.00114	153.57783
Bothidae			-30.00129	153.59365
Bothidae			-31.75058	152.87275
Bothidae			-31.75055	152.8851
Bothidae			-33.73121	153.501
Bothidae			-31.75002	152.91884
Bothidae			-31.75034	153.0456
Bothidae			-31.74934	153.02808
